,Position,Track Name,Artist,Streams,date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
0,1,SOLO,JENNIE,176738,2019-01-06,0.642,0.0953,95.045,0.087,0.0861,0.0,4,0.751,3,169567,-5.165,0.388,0
1,2,ลาลาลอย (100%),The Toys,171689,2019-01-06,0.738,0.111,85.009,0.0327,0.252,0.0465,4,0.685,2,184000,-8.211,0.784,1
2,3,ซ่อนกลิ่น,Palmy,166046,2019-01-06,0.714,0.099,90.991,0.0274,0.0427,0.000306,4,0.489,0,251947,-5.771,0.284,1
3,4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,148416,2019-01-06,0.479,0.0703,89.911,0.0466,0.556,0.0,4,0.76,2,158040,-5.574,0.913,1
4,5,"thank u, next",Ariana Grande,145598,2019-01-06,0.647,0.102,106.96,0.0658,0.28,0.0,4,0.724,1,207333,-5.642,0.435,1
5,6,ดูดี,Polycat,135473,2019-01-06,0.651,0.0715,84.01,0.0967,0.31,0.0,4,0.424,0,240000,-5.306,0.636,1
6,7,อาวรณ์,Polycat,133853,2019-01-06,0.763,0.176,146.012,0.0744,0.164,0.0,4,0.629,2,267123,-5.47,0.809,1
7,8,เสือสิ้นลาย,F.HERO,133058,2019-01-06,0.591,0.0739,135.957,0.0996,0.382,0.0,4,0.913,11,243529,-4.789,0.772,1
8,9,เป็นไรไหม?,OG-ANIC,117769,2019-01-06,0.56,0.111,139.989,0.106,0.41,0.0,4,0.858,2,212571,-6.24,0.966,1
9,10,นอกจากชื่อฉัน,ACTART,116423,2019-01-06,0.503,0.113,93.023,0.0266,0.299,1.92e-06,4,0.715,3,238063,-5.5,0.416,1
10,11,แบกไม่ไหว,UrboyTJ,110522,2019-01-06,0.537,0.285,130.027,0.0661,0.515,0.0,4,0.776,0,186462,-7.447,0.513,1
11,12,พูดไม่ออก,The Toys,107787,2019-01-06,0.542,0.0865,90.0,0.0417,0.396,9.74e-06,4,0.85,9,158000,-7.348,0.908,1
12,13,มีผลต่อหัวใจ,Non Tanon,101879,2019-01-06,0.665,0.0817,81.994,0.0668,0.37,1.47e-06,4,0.637,11,304430,-6.781,0.468,1
13,14,Wow.,Post Malone,96059,2019-01-06,0.539,0.101,99.947,0.178,0.163,2.1e-06,4,0.833,11,149520,-7.399,0.385,0
14,15,หมอกร้าย feat. Fongbeer and Kob the X factor,Lipta,93973,2019-01-06,0.593,0.101,176.026,0.0674,0.718,0.0,4,0.555,9,285002,-6.321,0.482,1
15,16,เจ็บน้อยที่สุด,Zeal,91422,2019-01-06,0.696,0.12,160.076,0.0366,0.226,0.0,4,0.337,7,331986,-5.094,0.184,1
16,17,ภาพจำ,Pop Pongkool,86003,2019-01-06,0.585,0.144,81.922,0.047,0.426,1.03e-06,4,0.557,5,274000,-7.559,0.464,0
17,18,หลอก,NICECNX,84219,2019-01-06,0.559,0.0821,95.003,0.0378,0.13,0.0,4,0.802,0,223388,-5.519,0.302,1
18,19,คุณได้ไปต่อ,Atom Chanakan,83204,2019-01-06,0.551,0.0878,95.982,0.0275,0.4,0.0,4,0.662,10,254062,-5.887,0.516,1
19,20,La Vie en Rose,IZ*ONE,79987,2019-01-06,0.908,0.115,115.975,0.0548,0.0899,0.0,4,0.698,9,218994,-1.211,0.606,0
20,21,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,79664,2019-01-06,0.457,0.0917,74.818,0.0477,0.401,0.0,4,0.378,2,196227,-9.292,0.261,1
21,22,Love Shot,EXO,77854,2019-01-06,0.678,0.0889,145.883,0.119,0.0702,0.0,4,0.689,5,200306,-4.287,0.335,0
22,23,ความเงียบดังที่สุด,Getsunova,76370,2019-01-06,0.533,0.105,136.046,0.0268,0.279,0.0,4,0.498,7,262210,-6.143,0.167,1
23,24,ไม่อยู่ในชีวิตแต่อยู่ในหัวใจ,Lula,73605,2019-01-06,0.48,0.111,128.046,0.0472,0.381,4.76e-05,4,0.634,9,258750,-9.913,0.275,1
24,25,รักมือสอง,Bedroom Audio,73202,2019-01-06,0.41,0.111,100.025,0.0261,0.338,7.7e-06,4,0.683,6,200171,-9.448,0.0772,0
25,26,DDU-DU DDU-DU - KR Ver.,BLACKPINK,72042,2019-01-06,0.86,0.281,139.973,0.0761,0.0322,0.0,4,0.665,4,209355,-3.921,0.372,0
26,27,สุดท้ายก็หมา (feat. เด็กเลี้ยงควาย),Wonderframe,71649,2019-01-06,0.549,0.0906,91.961,0.101,0.295,4.02e-06,4,0.795,0,185217,-5.988,0.515,1
27,28,ได้ข่าว (Breaking News) feat. CDGUNTEE,Lipta,71614,2019-01-06,0.539,0.0603,140.946,0.317,0.442,0.0,4,0.809,10,210000,-6.945,0.912,1
28,29,ไปเถอะ,The Parkinson,70599,2019-01-06,0.521,0.12,129.999,0.0323,0.644,5.17e-06,3,0.723,1,236000,-7.571,0.409,1
29,30,Good Luck feat. Maiyarap,Lipta,70072,2019-01-06,0.689,0.108,98.049,0.0843,0.408,1.44e-06,4,0.741,0,197500,-7.036,0.727,1
30,31,ความรักกำลังก่อตัว,Non Tanon,69831,2019-01-06,0.636,0.166,92.022,0.0459,0.353,0.000214,4,0.763,11,321699,-4.815,0.65,1
31,32,Saturday Nights,Khalid,69775,2019-01-06,0.44,0.11,167.923,0.0985,0.606,3.02e-05,4,0.551,10,210667,-8.559,0.341,1
