,index,Position,Track Name,Artist,Streams,URL,date
0,0,1,SOLO,JENNIE,176738,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-06
1,1,2,ลาลาลอย (100%),The Toys,171689,https://open.spotify.com/track/3f3L2MP4oniV1bmSxGbcW4,2019-01-06
2,2,3,ซ่อนกลิ่น,Palmy,166046,https://open.spotify.com/track/7woh2lJvyILYxSQ1kXTI3d,2019-01-06
3,3,4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,148416,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-06
4,4,5,"thank u, next",Ariana Grande,145598,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-06
5,5,6,ดูดี,Polycat,135473,https://open.spotify.com/track/4afuOwuWWRoS8HEw1cyVUZ,2019-01-06
6,6,7,อาวรณ์,Polycat,133853,https://open.spotify.com/track/2USX969yFQ250hBULh6Ope,2019-01-06
7,7,8,เสือสิ้นลาย,F.HERO,133058,https://open.spotify.com/track/42pEFPN6KrUydf2ufdampZ,2019-01-06
8,8,9,เป็นไรไหม?,OG-ANIC,117769,https://open.spotify.com/track/09Mn2O6dtMLCKdeD0BtLdO,2019-01-06
9,9,10,นอกจากชื่อฉัน,ACTART,116423,https://open.spotify.com/track/3nQlPsRsO4mEqVaiqErCLO,2019-01-06
10,10,11,แบกไม่ไหว,UrboyTJ,110522,https://open.spotify.com/track/2S3r0O3Dkgf797IguE4DeY,2019-01-06
11,11,12,พูดไม่ออก,The Toys,107787,https://open.spotify.com/track/36QNwsq4EpOdS3E4WEJphO,2019-01-06
12,12,13,มีผลต่อหัวใจ,Non Tanon,101879,https://open.spotify.com/track/5lxItfla07vroV2vuGwe75,2019-01-06
13,13,14,Wow.,Post Malone,96059,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-06
14,14,15,หมอกร้าย feat. Fongbeer and Kob the X factor,Lipta,93973,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v,2019-01-06
15,15,16,เจ็บน้อยที่สุด,Zeal,91422,https://open.spotify.com/track/2YIgU8Tq4tovJ3T2Qw6Ewh,2019-01-06
16,16,17,ภาพจำ,Pop Pongkool,86003,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS,2019-01-06
17,17,18,หลอก,NICECNX,84219,https://open.spotify.com/track/6XQ71HC6xxRbVZZD6Bodju,2019-01-06
18,18,19,คุณได้ไปต่อ,Atom Chanakan,83204,https://open.spotify.com/track/6ArypJhDZYRRVziSnQGMR6,2019-01-06
19,19,20,La Vie en Rose,IZ*ONE,79987,https://open.spotify.com/track/1fRaznZsAB2i63TtmYv2Hc,2019-01-06
